id,series,icon,url,zh_title,zh_subtitle,zh_intro,en_title,en_subtitle,en_intro,ja_title,ja_subtitle,ja_intro,status,notes
rte-open-day,build,rte-open-day,http://weixin.qq.com/r/mp/PRyTi8nEmJTnrY3o90kv,RTE Open Day,和创造者面对面交流,以展会形态聚集社区项目与创新团队，通过展位、Demo 与现场交流，让更多 Builder 和背后的创造者被看见。,RTE Open Day,Meet the Builders,"An exhibition-style community event that brings together projects and innovation teams through booths, demos, and live conversations, helping more builders be seen.",RTE Open Day,作り手と直接出会う展示型イベント,コミュニティのプロジェクトとイノベーションチームが集まる展示型イベント。ブース、Demo、現場での対話を通じて、より多くの Builder とその背後にいる作り手を可視化します。,,
rte-dev-talk,build,rte-dev-talk,http://weixin.qq.com/r/mp/PRyTi8nEmJTnrY3o90kv,RTE Dev Talk,第一时间讨论技术热点,面向开发者的线上直播栏目，邀请一线 Builder 与技术专家分享最新趋势、产品实践和真实构建经验。,RTE Dev Talk,Talk Tech as It Happens,"An online livestream program for developers, inviting frontline builders and technical experts to share trends, product practice, and real-world building experience.",RTE Dev Talk,技術トピックをいち早く議論する,開発者向けのオンラインライブ番組。第一線の Builder と技術エキスパートを招き、最新トレンド、プロダクト実践、リアルな開発経験を共有します。,,
talk-with-ai,build,talk-with-ai,http://weixin.qq.com/r/mp/PRyTi8nEmJTnrY3o90kv,Talk With AI 主题桌游,玩一局 Voice Agent 创业模拟,通过随机场景、技术竞拍和产品路演，把 Voice Agent 的真实开发历程变成可参与的桌游体验，适合开发者和 Founder 在游戏里讨论人与 AI 的未来。,Talk With AI Board Game,Voice Agent Startup Simulator,"A board game that turns voice agent building into a playable experience through random scenarios, tech auctions, and product pitches, helping developers and founders discuss the future of human-AI interaction through play.",Talk With AI ボードゲーム,Voice Agent 起業をゲームで体験,ランダムシナリオ、技術オークション、プロダクトピッチを通じて、Voice Agent 開発のリアルな道のりを遊べる体験に変えます。開発者や Founder が人とAIの未来を語るきっかけになります。,,
builder-ama,build,builder-ama,http://weixin.qq.com/r/mp/PRyTi8nEmJTnrY3o90kv,微信群 AMA,和项目核心成员直接对话,邀请产品负责人、Founder 与开发者进入社区进行问答交流，像一场 mini 发布会一样了解项目背后的真实故事。,WeChat Group AMA,Talk with Project Builders,"Product leads, founders, and developers join the community for live Q&A, offering a mini launch-event experience that reveals the real stories behind projects.",WeChat グループ AMA,プロジェクトの中核メンバーと直接対話,プロダクト責任者、Founder、開発者をコミュニティに招き、ライブQ&Aを実施。小さな発表会のように、プロジェクトの背景にあるリアルな物語を知ることができます。,,
coding-voices-podcast,build,coding-voices-podcast,https://example.com/coding-voices-podcast,《编码人声》播客,听见 Builder 的真实思考,记录开发者、研究者与创业者关于 Voice AI、Physical AI 与未来交互的第一手经验和长期思考。,Coding Voices Podcast,Hear How Builders Think,"A podcast documenting first-hand experience and long-term thinking from developers, researchers, and founders working on Voice AI, Physical AI, and future interaction.",『Coding Voices』ポッドキャスト,Builder の本音と思考を聴く,Voice AI、Physical AI、未来のインタラクションに取り組む開発者、研究者、起業家の一次体験と長期的な思考を記録します。,,
rte-conference,build,rte-conference,https://www.rteconf.com/,RTE 年度大会,一年一度的实时 AI 盛会,汇聚开发者、创业者、投资人和生态伙伴，共同讨论实时互动、Voice Agent、Physical AI 与对话式 AI 的未来。,RTE Annual Conference,Real-Time AI Annual Summit,"A conference bringing together developers, founders, investors, and ecosystem partners to discuss real-time engagement, Voice Agents, Physical AI, and the future of Conversational AI.",RTE 年次カンファレンス,年に一度のリアルタイムAIサミット,開発者、起業家、投資家、エコシステムパートナーが集まり、リアルタイムインタラクション、Voice Agent、Physical AI、対話型AIの未来を議論します。,,
supersonic,grow,supersonic,https://physical-ai-camp.vercel.app/,Supersonic 超音速计划,面向高潜 Builder 的年度成长计划,聚焦 Voice Agent、Physical AI 与实时 AI 创业者，通过资源、伙伴、市场连接与展示机会，帮助项目从 Demo 走向产品与市场。,Supersonic Program,For High-Potential Builders,"Designed for Voice Agent, Physical AI, and real-time AI founders, this program connects projects with resources, partners, market access, and showcase opportunities.",Supersonic 超音速プログラム,高い可能性を持つ Builder のための成長プログラム,Voice Agent、Physical AI、リアルタイムAI領域の起業家に向けて、リソース、仲間、市場接続、発表機会を提供。Demo からプロダクト、市場へ進むことを支援します。,,
realtime-ai-devkit,grow,realtime-ai-devkit,https://physical-ai-camp.vercel.app/,Real-Time AI DevKit,支撑项目起步的开发资源包,整合模型额度、实时互动能力、开发板试用、数字人和 API 等资源，帮助团队降低试错成本，更快完成原型验证。,Real-Time AI DevKit,Resources to Start Building,"A bundle of model credits, real-time engagement capabilities, development board trials, digital human resources, and APIs to lower experimentation costs and accelerate prototyping.",Real-Time AI DevKit,プロジェクトの立ち上げを支える開発リソース,モデルクレジット、リアルタイムインタラクション機能、開発ボード試用、デジタルヒューマン、API などをまとめたリソースパック。試行錯誤のコストを下げ、プロトタイプ検証を加速します。,,
voice-agent-100,grow,voice-agent-100,https://www.rtecommunity.dev/voice-agent-100,Voice Agent 100 创新榜,看见 Voice Agent 的 15+ 垂直落地赛道,一个展示 Voice Agent 多元落地场景的榜单，梳理 15+ 垂直赛道与 100+ 智能体案例，帮助开发者和 Founder 发现真实需求、头部项目与商业化机会。,Voice Agent 100,15+ Voice Agent Verticals,"A curated list of 100+ voice agent use cases across 15+ verticals, helping developers and founders discover real needs, leading projects, and emerging business opportunities.",Voice Agent 100,15以上の垂直領域に広がる Voice Agent,Voice Agent の多様な実装シーンを紹介するリスト。15以上の垂直領域と100以上のエージェント事例を整理し、開発者と Founder が実需、先行プロジェクト、商機を見つける助けになります。,,
go-global-morning-session,grow,go-global-morning-session,https://physical-ai-camp.vercel.app/,出海早自习,和正在全球化的人一起学习,聚焦海外市场、增长、本地化与渠道合作，分享真实的出海经验、市场观察和踩坑记录。,Go Global Morning Session,Learn Global Expansion,"A focused session on overseas markets, growth, localization, and channel partnerships, sharing real go-global experience, market observations, and lessons learned.",Go Global 朝活,グローバル展開に挑む人たちと学ぶ,海外市場、成長、本地化、チャネル連携に焦点を当て、リアルなグローバル展開経験、市場観察、失敗からの学びを共有します。,,
supply-chain-morning-session,grow,supply-chain-morning-session,https://physical-ai-camp.vercel.app/,供应链早自习,理解 AI 硬件创业的另一半,围绕打样、制造、成本控制与供应链协同，帮助 AI 硬件与 Physical AI 团队少走弯路。,Supply Chain Morning Session,AI Hardware Supply Chains,"A session on prototyping, manufacturing, cost control, and supply-chain collaboration, helping AI hardware and Physical AI teams avoid common detours.",サプライチェーン朝活,AI ハードウェア起業のもう半分を理解する,試作、製造、コスト管理、サプライチェーン連携をテーマに、AI ハードウェアと Physical AI チームが遠回りを減らせるよう支援します。,,
model-morning-session,grow,model-morning-session,https://physical-ai-camp.vercel.app/,大模型早自习,跟踪模型能力与 Agent 演进,围绕模型能力、推理、多模态、Agent Framework 与应用落地展开闭门讨论，帮助 Builder 保持技术敏感度。,Model Morning Session,Track Models and Agents,"A closed-door discussion around model capability, reasoning, multimodality, Agent frameworks, and application practice, helping builders stay technically alert.",大規模モデル朝活,モデル能力と Agent の進化を追う,モデル能力、推論、マルチモーダル、Agent Framework、実装事例をめぐるクローズドな議論を通じて、Builder が技術感度を保てるよう支援します。,,
realtime-ai-daily,grow,realtime-ai-daily,https://mp.weixin.qq.com/mp/appmsgalbum?__biz=Mzg3NjgwMjUzOQ==&action=getalbum&album_id=3009551878315311111,RTE 开发者日报,每天了解实时 AI 行业变化,聚焦 Voice AI、Physical AI、Agent 与实时互动领域的重要动态，帮助 Builder 快速掌握趋势、机会与新产品。,RTE Developer Daily,Daily Real-Time AI Signals,"A daily digest covering important developments in Voice AI, Physical AI, Agents, and real-time engagement so builders can quickly track trends, opportunities, and new products.",RTE Developer Daily,リアルタイムAIの変化を毎日キャッチ,Voice AI、Physical AI、Agent、リアルタイムインタラクション領域の重要な動きを追い、Builder がトレンド、機会、新しいプロダクトを素早く把握できるようにします。,,
builder-stories,grow,builder-stories,http://weixin.qq.com/r/mp/PRyTi8nEmJTnrY3o90kv,Builder Stories,记录 Builder 的成长故事,分享开发者与创业者从灵感到产品、从项目到公司的真实经历，让更多早期创造者被看见。,Builder Stories,Stories from Real Builders,"Stories about developers and founders moving from ideas to products and from projects to companies, helping more early-stage creators become visible.",Builder Stories,Builder の成長の物語を記録する,開発者や起業家がアイデアからプロダクトへ、プロジェクトから会社へ進むリアルな経験を紹介。より多くの初期の作り手が見つけられるきっかけを作ります。,,
voice-agent-camp,grow,voice-agent-camp,https://mp.weixin.qq.com/s/ZI4AyE4n9hV4yA8nt2Rafw,Voice Agent Camp,打造下一代语音智能体产品,超音速计划旗舰项目，围绕 Voice Agent 的产品、技术与商业化展开深度共创，连接开发者、创业者与生态伙伴。,Voice Agent Camp,Build Next-Gen Voice Agents,"A flagship Supersonic program focused on Voice Agent product, technology, and commercialization, connecting developers, founders, and ecosystem partners for deep co-creation.",Voice Agent Camp,次世代の音声エージェントを作る,Supersonic の主力プログラム。Voice Agent のプロダクト、技術、商用化をテーマに、開発者、起業家、エコシステムパートナーをつなぎ、深い共創を促します。,,
physical-ai-camp,grow,physical-ai-camp,https://physical-ai-camp.vercel.app/,Physical AI Camp,探索 AI 如何进入物理世界,超音速计划旗舰项目，聚焦 AI 硬件、机器人、多模态交互与实时智能，连接开发者、创业者、投资人与生态伙伴。,Physical AI Camp,Bring AI into the Real World,"A flagship Supersonic program focused on AI hardware, robotics, multimodal interaction, and real-time intelligence, connecting builders with founders, investors, and partners.",Physical AI Camp,AI が物理世界に入る方法を探る,Supersonic の主力プログラム。AI ハードウェア、ロボット、マルチモーダル体験、リアルタイム知能に焦点を当て、開発者、起業家、投資家、パートナーをつなぎます。,,
demo-review,grow,demo-review,http://weixin.qq.com/r/mp/PRyTi8nEmJTnrY3o90kv,Lightning Demo,3 分钟，让未完成的作品被看见,不论是原型、半成品还是刚冒出来的想法，都可以在 3 分钟里被看见；在大咖分享之外，我们始终给正在 build 的人留出获得反馈和寻找伙伴的舞台。,Lightning Demo,Show Your Work in 3 Minutes,"Whether it is a prototype, a half-built product, or a fresh idea, you get 3 minutes to be seen. Beyond keynote talks, we always keep the stage open for builders to get feedback and find collaborators.",Lightning Demo,3分で未完成の作品を見せる,プロトタイプ、半完成品、生まれたばかりのアイデアでも、3分で見てもらえます。大きな講演だけでなく、いま build している人がフィードバックと仲間を見つける舞台を用意します。,,
demo-day-showcase,grow,demo-day-showcase,https://www.rteconf.com/,年度 Demo Day,集中展示这一年最有意思的对话式 AI 产品,一年一度邀请社区生态伙伴与投资人到场，集中展示 Voice AI 和对话式 AI 项目成果，帮助团队获得反馈、曝光、合作机会和下一阶段资源。,Annual Demo Day,Best Conversational AI Projects,"An annual showcase for the most interesting Voice AI and conversational AI projects from the community, bringing together ecosystem partners and investors for feedback, exposure, partnerships, and next-step resources.",年次 Demo Day,その年の面白い対話型AIプロダクトを一挙に展示,年に一度、コミュニティのエコシステムパートナーと投資家を招き、Voice AI と対話型AIプロジェクトの成果を展示。フィードバック、露出、協業機会、次のリソース獲得を支援します。,,
investor-network,grow,investor-network,https://physical-ai-camp.vercel.app/,投资人连接,和真正懂 AI 的投资人交流,连接关注 Agent、AI 硬件与实时互动赛道的早期投资人，在平等的产品和业务交流中建立长期关系。,Investor Network,Meet AI-Focused Investors,"A connection point with early-stage investors focused on Agents, AI hardware, and real-time engagement, creating long-term relationships through product and business conversations.",投資家ネットワーク,AI を理解する投資家と話す,Agent、AI ハードウェア、リアルタイムインタラクション領域に関心を持つ初期投資家と接続。対等なプロダクトと事業の対話を通じて、長期的な関係を築きます。,,
global-showcase,grow,global-showcase,https://physical-ai-camp.vercel.app/,全球展会通道,把产品带到更大的行业现场,连接 WAIC、BEYOND Expo、IVS 等全球展会与初创展示机会，帮助 Builder 在真实行业场景中获得市场反馈、合作线索与国际曝光。,Global Showcase Track,Take Your Product Global,"We connect builders with major events and startup showcases such as WAIC, BEYOND Expo, and IVS, helping projects gain market feedback, partnership leads, and international exposure.",グローバル展示ルート,プロダクトをより大きな業界現場へ,WAIC、BEYOND Expo、IVS などのグローバル展示会やスタートアップショーケースと接続し、Builder が市場フィードバック、協業リード、国際的な露出を得られるよう支援します。,,
global-expedition,grow,global-expedition,https://physical-ai-camp.vercel.app/,海外生态考察,走进全球创新现场,深入硅谷、日本等 AI 创新生态，理解全球市场、产品趋势与本地合作机会，捕捉一手行业信号。,Global Ecosystem Expedition,Explore Global AI Scenes,"An in-depth visit to AI innovation ecosystems such as Silicon Valley and Japan, helping builders understand global markets, product trends, and local partnership opportunities.",海外エコシステム視察,世界のイノベーション現場に入る,シリコンバレー、日本などのAIイノベーションエコシステムを訪ね、グローバル市場、プロダクトトレンド、現地の協業機会を理解し、一次情報を得ます。,,
rte-dev-party,grow,rte-dev-party,http://weixin.qq.com/r/mp/PRyTi8nEmJTnrY3o90kv,RTE Dev Party,换个轻松的场子，继续认识彼此,展会和活动之后的轻量夜间交流场景，把高密度的信息吸入换成更自然的对话，让 Founder、Developer 与生态伙伴在轻松氛围里一对一聊项目、聊合作、交朋友。,RTE Dev Party,Unwind and Meet Builders,"A relaxed evening gathering after intense events and conferences, turning information overload into natural conversations where founders, developers, and ecosystem partners can talk projects, partnerships, and new ideas.",RTE Dev Party,肩の力を抜いて、もう少し話す,展示会やイベント後の軽い夜の交流の場。高密度な情報を自然な対話に変え、Founder、Developer、エコシステムパートナーがプロジェクト、協業、友人関係について一対一で話せる時間を作ります。,,
